date;value
2022-08-06;22926.0
2022-08-07;22845.7
2022-08-08;23168.2
2022-08-09;22890.3
2022-08-10;22685.0
2022-08-11;23862.1
2022-08-12;23600.0
2022-08-13;24304.4
2022-08-14;24168.0
2022-08-15;23789.5
2022-08-16;23673.1
2022-08-17;23193.1
2022-08-18;23106.4
2022-08-19;20805.0
2022-08-20;20778.0
2022-08-21;21062.9
2022-08-22;20904.7
2022-08-23;20900.0
2022-08-24;21157.6
2022-08-25;21320.4
2022-08-26;20097.5
2022-08-27;19829.1
2022-08-28;19525.8
2022-08-29;19539.7
2022-08-30;19555.0
2022-08-31;19814.2
2022-09-01;19560.0
2022-09-02;19764.3
2022-09-03;19655.6
2022-09-04;19601.0
2022-09-05;19642.9
2022-09-06;18670.0
2022-09-07;18550.0
2022-09-08;19015.0
2022-09-09;19309.4
2022-09-10;21121.6
2022-09-11;21363.2
2022-09-12;21564.6
2022-09-13;19863.2
2022-09-14;19619.5
2022-09-15;19509.3
2022-09-16;19326.9
2022-09-17;19757.0
2022-09-18;19355.0
2022-09-19;18223.9
2022-09-20;18731.1
2022-09-21;18138.4
2022-09-22;18372.6
2022-09-23;18543.0
2022-09-24;18805.1
2022-09-25;18645.9
2022-09-26;18695.9
2022-09-27;18833.7
2022-09-28;18487.5
2022-09-29;18849.1
2022-09-30;19150.0
2022-10-01;
2022-10-02;18937.0
2022-10-03;18985.7
2022-10-04;19508.2
2022-10-05;19754.3
2022-10-06;19872.7
2022-10-07;19338.4
2022-10-08;19249.7
2022-10-09;19335.0
2022-10-10;19040.0
2022-10-11;18860.0
2022-10-12;18937.3
2022-10-13;18163.1
2022-10-14;19083.2
2022-10-15;19000.0
2022-10-16;19066.8
2022-10-17;19160.0
2022-10-18;19110.0
2022-10-19;19071.2
2022-10-20;18900.3
2022-10-21;18657.1
2022-10-22;19123.1
2022-10-23;19080.2
2022-10-24;19158.2
2022-10-25;19230.4
2022-10-26;20071.1
2022-10-27;
2022-10-28;20016.3
2022-10-29;20565.4
2022-10-30;20525.0
2022-10-31;20250.1
2022-11-01;20339.4
2022-11-02;20059.8
2022-11-03;20050.0
2022-11-04;20185.4
2022-11-05;21088.3
2022-11-06;20900.0
2022-11-07;20400.0
2022-11-08;17276.2
2022-11-09;15555.0
2022-11-10;15732.8
2022-11-11;16350.0
2022-11-12;16600.0
2022-11-13;16222.9
2022-11-14;15800.3
2022-11-15;16514.1
2022-11-16;16370.0
2022-11-17;16409.4
2022-11-18;16540.8
2022-11-19;16550.0
2022-11-20;16156.8
2022-11-21;15470.5
2022-11-22;15582.7
2022-11-23;16150.9
2022-11-24;16451.5
2022-11-25;16347.6
2022-11-26;16390.6
2022-11-27;16395.3
2022-11-28;16000.0
2022-11-29;16095.5
2022-11-30;16420.2
2022-12-01;16870.4
2022-12-02;16784.2
2022-12-03;16870.5
2022-12-04;16886.0
2022-12-05;16888.0
2022-12-06;16915.1
2022-12-07;16700.0
2022-12-08;16735.9
2022-12-09;17066.6
2022-12-10;17096.1
2022-12-11;17070.4
2022-12-12;16880.0
2022-12-13;17090.0
2022-12-14;17657.4
2022-12-15;17261.4
2022-12-16;
2022-12-17;16576.6
2022-12-18;16669.1
2022-12-19;16260.2
2022-12-20;16399.9
2022-12-21;16729.9
2022-12-22;16565.9
2022-12-23;16749.9
2022-12-24;16776.4
2022-12-25;16725.4
2022-12-26;16801.0
2022-12-27;16590.1
2022-12-28;16453.2
2022-12-29;
2022-12-30;16325.2
2022-12-31;16464.1
2023-01-01;16490.0
2023-01-02;16550.0
2023-01-03;16599.6
2023-01-04;16650.1
2023-01-05;16752.7
2023-01-06;16680.0
2023-01-07;16907.7
2023-01-08;16910.5
2023-01-09;17105.6
2023-01-10;17150.4
2023-01-11;17308.8
2023-01-12;17912.9
2023-01-13;18720.6
2023-01-14;
2023-01-15;20527.3
2023-01-16;20620.1
2023-01-17;20864.0
2023-01-18;20395.5
2023-01-19;20658.6
2023-01-20;20880.1
2023-01-21;22440.3
2023-01-22;22301.2
2023-01-23;22520.1
2023-01-24;22455.9
2023-01-25;22320.0
2023-01-26;22857.5
2023-01-27;22492.8
2023-01-28;22900.0
2023-01-29;22980.1
2023-01-30;22519.2
2023-01-31;22724.5
2023-02-01;22753.6
2023-02-02;23383.7
2023-02-03;23221.0
2023-02-04;23270.5
2023-02-05;22758.4
2023-02-06;22599.9
2023-02-07;22750.1
2023-02-08;22675.5
2023-02-09;21700.0
2023-02-10;21475.0
2023-02-11;21610.9
2023-02-12;21640.1
2023-02-13;21359.1
2023-02-14;21505.0
2023-02-15;22038.5
2023-02-16;23500.0
2023-02-17;23340.4
2023-02-18;24434.7
2023-02-19;24178.3
2023-02-20;23867.9
2023-02-21;24154.4
2023-02-22;23600.0
2023-02-23;23615.3
2023-02-24;22800.8
2023-02-25;
2023-02-26;23066.7
2023-02-27;23108.4
